file_name,url,source_query,title,score,matched_terms,sha256
011-tribunal-de-justica-de-minas-gerai-17d76e66.pdf,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=22&ttriCodigo=1&codigoOrigem=0000&numero=204404&sequencial=001&sequencialAcordao=0,"""ação de indenização por danos morais"" ""julgo procedente"" ""petição inicial"" filetype:pdf",Tribunal de Justiça de Minas Gerai,17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,17d76e66dd40326d823f4359f7061132eb6bda6d6b7bdc9b21efa470369bfaad
012-tribunal-de-justica-de-minas-gerai-a664b942.pdf,https://www5.tjmg.jus.br/jurisprudencia/relatorioEspelhoAcordao.do?inteiroTeor=true&ano=18&ttriCodigo=1&codigoOrigem=0000&numero=026583&sequencial=002&sequencialAcordao=0,"""ação de indenização por danos morais"" ""julgo procedente"" ""petição inicial"" filetype:pdf",Tribunal de Justiça de Minas Gerai,13,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,a664b942bde809c3f02e776cd79467bd3030cbbaeccf093de7a55f0623ccfddc
013-tribunal-de-justica-de-minas-gerai---migalhas-e9727211.pdf,https://www.migalhas.com.br/arquivos/2020/1/CA8BCDDB85C503_acordao.pdf,"""indenização por dano moral"" ""sentença procedente"" ""petição inicial"" filetype:pdf",Tribunal de Justiça de Minas Gerai - Migalhas,18,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; procedencia do pedido; procedência do pedido,e9727211da3f7b5377bc6a2d4d12326ea17b986bc5bfd0ac57d7ed9cc4e45240
014-despacho-decisao-1438c440.pdf,https://www.rotajuridica.com.br/wp-content/uploads/2023/08/decisao-negativacao-TJSC.pdf,"""danos morais"" ""condeno"" ""petição inicial"" filetype:pdf",DESPACHO/DECISÃO,15,dano moral; danos morais; petição inicial; recurso provido; sentenca de procedencia; sentença de procedência,1438c4403595761da6679afae7ab8a28554f4ac5828c37b7fce687d59bdfc0fe
015-tribunal-de-justica-de-minas-gerais---tjmg.jus.br-4bc5dd56.pdf,https://www8.tjmg.jus.br/themis/baixaDocumento.do?tipo=1&numeroVerificador=107011202381860012022978949,"""danos morais"" ""condeno"" ""petição inicial"" filetype:pdf",Tribunal de Justiça de Minas Gerais - tjmg.jus.br,16,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial; provimento ao recurso,4bc5dd56b34c41180d9c3b45ce07d464d52e472ef8f2b2e42d8fa295e9562d45
016-excelentissimo-senhor-doutor-juiz-de-direito-da-vara-c9611549.pdf,https://static.poder360.com.br/2017/08/PATRICIA_ABRAVAEL.pdf,"""modelo de petição inicial"" ""danos morais"" ""procedente"" filetype:pdf",EXCELENTÍSSIMO SENHOR DOUTOR JUIZ DE DIREITO DA ª VARA,11,acao de indenizacao; ação de indenização; dano moral; danos morais; recurso provido,c96115497d3a55287dc831806fd36877eded1de54bd78ffb08c65c36f99d1a4a
017-processo-n-1004048-69.2021.8.26.0609-procedimento-comum-civel-d3c6073c.pdf,https://www.migalhas.com.br/arquivos/2021/10/457F13C75569A0_emprestimoindevidoc6.pdf,"""modelo de petição inicial"" ""danos morais"" ""procedente"" filetype:pdf",Processo nº: 1004048-69.2021.8.26.0609 Procedimento Comum Cível ...,17,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; recurso provido; sentenca de procedencia; sentença de procedência,d3c6073c2b0d0a17a6290b4529cdc5b557c630efba9ba5524a5a7162a78e2de5
018-dano-moral-e-pedido-generico-de-indenizacao-f75adb5f.pdf,https://bdjur.stj.jus.br/server/api/core/bitstreams/0dfa450e-d1bb-43f0-b4ff-66bde2f550a8/content,"""petição inicial"" ""dano moral"" ""sentença"" ""procedente"" filetype:pdf",Dano Moral e peDiDo Genérico De inDenização,26,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; procedencia do pedido; procedência do pedido; sentenca de procedencia; sentença de procedência,f75adb5fa9807c6f4880e63f54a2b1c0aa506358ca328a256d748c0f2f0b2e26
019-sentenca-9d786f09.pdf,https://www.cnmp.mp.br/portal/images/Sentença_Datena.pdf,"""petição inicial"" ""dano moral"" ""sentença"" ""procedente"" filetype:pdf",SENTENÇA,13,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo parcialmente procedente; petição inicial,9d786f092d5da1cc1d6593b6e1c58ae9e3c6a054409b0db95ce42de6a0ee0167
020-sentenca-1003979-03.2021.8.26.0006-procedimento-comum-civel-0b57df74.pdf,https://www.migalhas.com.br/arquivos/2022/3/A34227C1B439F8_decisao-band-datena.pdf,"""petição inicial"" ""dano moral"" ""sentença"" ""procedente"" filetype:pdf",SENTENÇA 1003979-03.2021.8.26.0006 Procedimento Comum Cível ...,13,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,0b57df74e1f3ee03cd9c3f9f665d556e253f2ad3b7de89b7ad36480084990b0f
021-excelentissimo-senhor-doutor-juiz-federal-da-vara-federal-da-c71983d4.pdf,https://fernandoconceicao.files.wordpress.com/2014/02/assedio-moral-processo-inicial.pdf,"""petição inicial"" ""dano moral"" ""sentença"" ""procedente"" filetype:pdf",EXCELENTÍSSIMO SENHOR DOUTOR JUIZ FEDERAL DA VARA FEDERAL DA ...,17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; provimento ao recurso,c71983d40f1c7bb96943aefa5baacba49160f5760fa49e24a1bd9bcb59ccb838
022-processo-0004928-04.2014.8.14.0045---apelacao-civel-c1e685cc.pdf,https://www.tjpa.jus.br/CMSPortal/VisualizarArquivo?idArquivo=1468631,"""petição inicial"" ""dano moral"" ""julgo procedente"" filetype:pdf",PROCESSO: 0004928-04.2014.8.14.0045 - APELAÇÃO CÍVEL,18,dano moral; indenizacao por dano moral; indenização por dano moral; julgo parcialmente procedente; procedencia do pedido; procedência do pedido; provimento ao recurso,c1e685cc69d12d3aec8b65727649ec0d170af350589d6dd1058bc017da687c76
023-superior-tribunal-de-justic---consultor-juridico-4ba6e8d6.pdf,https://www.conjur.com.br/wp-content/uploads/2023/09/indenizacao-valor-stj.pdf,"""petição inicial"" ""dano moral"" ""julgo procedente"" filetype:pdf",Superior Tribunal de Justiç - Consultor Jurídico,17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; provimento ao recurso,4ba6e8d6f83b1732e496785bed9525dc728744e56471c1506f50c0fd178c870e
024-sentenca-julgou-parcialmente-procedente-a-acao-a-fim-de-bd98da5b.pdf,https://www.stj.jus.br/websecstj/cgi/revista/REJ.cgi/ATC?seq=11574863&tipo=51&nreg=201000255310&dt=20100826&formato=PDF&salvar=false,"""petição inicial"" ""danos morais"" ""julgo parcialmente procedente"" filetype:pdf","Sentença: julgou parcialmente procedente a ação, a fim de ...",5,danos morais; provimento ao recurso,bd98da5bd64ce74e4b32e8d3cb7ea6709e5720eba6a90bd048e97997ec88e45a
025-sexta-camara-civel-0808022-39.2021.8.10.0029-apelante-926fc87e.pdf,https://www.migalhas.com.br/arquivos/2022/3/F9B23DDBE4CEDC_decisao.monocratica..pdf,"""petição inicial"" ""danos morais"" ""julgo parcialmente procedente"" filetype:pdf",SEXTA CÂMARA CÍVEL 0808022-39.2021.8.10.0029) APELANTE ...,14,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; provimento ao recurso,926fc87e52bcb1d01a16cfa7c7d42e75d0ce66d8af3dac840348f9902cdc0df4
026-do-valor-das-indenizacoes-por-dano-moral---uma-proposta-inovadora-5e6b7c9d.pdf,http://publicadireito.com.br/artigos/?cod=46994a3cd8d943d0,"""indenização por dano moral"" ""petição inicial"" ""procedência do pedido"" filetype:pdf",Do Valor das Indenizações por Dano Moral - Uma proposta inovadora ...,20,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; procedencia do pedido; procedência do pedido,5e6b7c9de787bd1b908a8729a1488debf078ecd75e94623e85dece951f17c38e
027-a-incidencia-de-juros-moratorios-nos-danos-morais-...---afi-2b9a1571.pdf,https://afi.adv.br/wp-content/uploads/2022/04/024.pdf,"""indenização por dano moral"" ""petição inicial"" ""procedência do pedido"" filetype:pdf",A INCIDÊNCIA DE JUROS MORATÓRIOS NOS DANOS MORAIS ... - AFI,26,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; procedencia do pedido; procedência do pedido; sentenca de procedencia; sentença de procedência,2b9a15715ac562b78a1ad4d31d20293af8a415153c08902aa7d378e637d685e5
